feature,coefficient,abs_coefficient
Contract_Two year,-1.4374132270506894,1.4374132270506894
Contract_One year,-0.7289094257942503,0.7289094257942503
OnlineSecurity_Yes,-0.48380269946480703,0.48380269946480703
MultipleLines_No phone service,0.45521424486360546,0.45521424486360546
InternetService_Fiber optic,0.44457851383243735,0.44457851383243735
PaymentMethod_Electronic check,0.41591860508718875,0.41591860508718875
TechSupport_Yes,-0.4140064106867476,0.4140064106867476
PhoneService,-0.3472176914114408,0.3472176914114408
PaperlessBilling,0.3331933336879197,0.3331933336879197
Dependents,-0.23155124731283683,0.23155124731283683
OnlineBackup_Yes,-0.23042383478221162,0.23042383478221162
MultipleLines_Yes,0.18051779306850524,0.18051779306850524
SeniorCitizen,0.13827904158646728,0.13827904158646728
DeviceProtection_Yes,-0.11385517029225557,0.11385517029225557
StreamingMovies_Yes,0.10224936896019844,0.10224936896019844
StreamingTV_Yes,0.07838260261884201,0.07838260261884201
OnlineBackup_No internet service,-0.06695912920715204,0.06695912920715204
TechSupport_No internet service,-0.06695912920715204,0.06695912920715204
StreamingTV_No internet service,-0.06695912920715204,0.06695912920715204
OnlineSecurity_No internet service,-0.06695912920715204,0.06695912920715204
InternetService_No,-0.06695912920715204,0.06695912920715204
DeviceProtection_No internet service,-0.06695912920715204,0.06695912920715204
StreamingMovies_No internet service,-0.06695912920715204,0.06695912920715204
PaymentMethod_Mailed check,0.050696832963641456,0.050696832963641456
tenure,-0.04832250188102165,0.04832250188102165
gender,0.027699947114029514,0.027699947114029514
Partner,0.01887533886771077,0.01887533886771077
PaymentMethod_Credit card (automatic),0.015202488212002263,0.015202488212002263
MonthlyCharges,0.012839842079949822,0.012839842079949822
TotalCharges,0.0002300142433491123,0.0002300142433491123
